ID	Length	SRX9120578
ENSG00000155366	8999	684.0
ENSG00000269652	8999	1339.0
ENSG00000069011	4999	341.5
ENSG00000133318	9499	503.0
ENSG00000131871	4999	423.5
ENSG00000081307	4499	103.5
ENSG00000198780	9999	1368.5
ENSG00000198455	4499	94.0
ENSG00000189241	11499	493.5
ENSG00000201830	9499	371.0
ENSG00000065268	3999	109.5
ENSG00000169714	5499	518.5
ENSG00000142937	11999	4774.0
ENSG00000266462	5499	169.0
ENSG00000179091	6499	2030.5
ENSG00000167755	3999	361.0
ENSG00000157216	9499	811.0
ENSG00000142871	16499	11800.0
ENSG00000175130	12499	7221.5
ENSG00000225975	4999	90.0
ENSG00000226434	7499	64.5
ENSG00000077616	9999	1055.0
ENSG00000115486	11999	7334.0
ENSG00000251414	5999	518.5
ENSG00000176845	3999	63.5
ENSG00000100479	19999	3325.5
ENSG00000166405	5499	376.5
ENSG00000271237	5999	162.5
ENSG00000176978	6999	1334.0
ENSG00000265306	6499	642.0
ENSG00000178188	3999	202.5
ENSG00000124575	9999	324.0
ENSG00000132003	24999	7599.5
ENSG00000131724	4999	137.0
ENSG00000163810	3999	62.5
ENSG00000158710	5499	298.0
ENSG00000247077	4999	182.0
ENSG00000251874	9499	409.0
ENSG00000168564	6499	270.0
ENSG00000130748	5499	213.5
ENSG00000267458	7499	6913.5
ENSG00000149483	4499	76.0
ENSG00000005884	3999	101.0
ENSG00000147535	4999	591.5
ENSG00000267030	5499	78.5
ENSG00000087302	6999	311.0
ENSG00000096384	11999	5925.5
ENSG00000187775	3999	34.5
ENSG00000228175	3999	90.5
ENSG00000221038	7999	352.5
ENSG00000114650	5499	228.5
ENSG00000224037	3999	81.5
ENSG00000034510	6999	13000.5
ENSG00000187608	5499	140.5
ENSG00000226479	4499	545.0
ENSG00000100652	13499	3474.5
ENSG00000235763	4499	95.0
ENSG00000109971	6999	1003.0
ENSG00000119953	7499	436.0
ENSG00000222611	4999	69.0
ENSG00000201469	19499	2593.5
ENSG00000174292	14999	1653.0
ENSG00000168259	9499	2351.5
ENSG00000139835	4999	4790.0
ENSG00000168002	4499	109.5
ENSG00000131652	4499	1962.5
ENSG00000238459	11499	471.5
ENSG00000260796	7999	481.0
ENSG00000122515	3999	141.0
ENSG00000185088	4999	87.5
ENSG00000255252	9499	1138.5
ENSG00000107185	7499	129.0
ENSG00000241634	4499	56.0
ENSG00000270846	4999	245.0
ENSG00000124688	9499	1439.0
ENSG00000183624	8999	3454.5
ENSG00000163607	3999	111.5
ENSG00000132153	6499	2735.0
ENSG00000201850	4999	108.0
ENSG00000100379	4499	72.5
ENSG00000082212	5999	102.5
ENSG00000149179	25499	1458.5
ENSG00000165527	18499	2636.5
ENSG00000260708	4999	251.5
ENSG00000251749	14499	1024.5
ENSG00000233436	4499	2625.0
ENSG00000169495	7999	995.5
ENSG00000273004	6499	181.0
ENSG00000228830	7999	730.0
ENSG00000273218	13499	917.5
ENSG00000251562	3999	124.0
ENSG00000168264	11499	1049.0
ENSG00000130714	9499	451.0
ENSG00000267342	6499	1061.0
ENSG00000230564	10499	528.5
ENSG00000161011	6999	594.0
ENSG00000143390	3999	35.5
ENSG00000234159	14999	1023.0
ENSG00000186628	10499	237.5
ENSG00000155760	6499	146.0
ENSG00000168274	5499	743.0
ENSG00000088888	7999	342.0
ENSG00000163660	10499	1087.0
ENSG00000252357	4499	29.0
ENSG00000107404	10499	983.5
ENSG00000261266	20499	804.5
ENSG00000255874	7999	418.0
ENSG00000100906	5499	269.0
ENSG00000197238	13999	2881.5
ENSG00000141527	9999	362.5
ENSG00000087086	26499	19277.0
ENSG00000141522	6999	3606.5
ENSG00000168795	16999	653.0
ENSG00000226754	4499	356.5
ENSG00000053371	10999	607.0
ENSG00000173039	8999	235.0
ENSG00000232811	9999	1790.0
ENSG00000134809	3999	201.0
ENSG00000155465	6499	779.5
ENSG00000224621	27999	897.5
ENSG00000147912	19499	729.5
ENSG00000132485	9999	288.0
ENSG00000259452	4999	62.0
ENSG00000099330	18999	1672.5
ENSG00000163704	5499	115.0
ENSG00000252578	5999	385.0
ENSG00000131153	3999	133.0
ENSG00000225037	5999	273.0
ENSG00000103126	8499	737.5
ENSG00000178028	3999	566.5
ENSG00000134590	6499	359.5
ENSG00000205339	11999	1228.5
ENSG00000251484	4999	1884.5
ENSG00000228634	13499	2643.5
ENSG00000198783	10999	733.0
ENSG00000185127	18999	3047.5
ENSG00000125449	14999	2154.5
ENSG00000181924	5499	439.5
ENSG00000164631	3999	33.5
ENSG00000079134	3999	681.5
ENSG00000141551	13999	1957.5
ENSG00000272944	5999	590.5
ENSG00000269089	8499	252.0
ENSG00000224505	7999	4321.0
ENSG00000100300	5999	1342.5
ENSG00000258623	9499	348.5
ENSG00000234409	30999	3570.5
ENSG00000250365	5499	199.0
ENSG00000177757	7499	637.0
ENSG00000158863	4999	86.0
ENSG00000270094	12499	1372.5
ENSG00000243649	6499	673.0
ENSG00000187595	3999	463.5
ENSG00000243053	11499	508.5
ENSG00000127564	6499	226.5
ENSG00000168924	18499	947.5
ENSG00000257913	3999	190.5
ENSG00000167553	4999	403.5
ENSG00000132139	3999	137.5
ENSG00000116863	4999	219.0
ENSG00000234465	11999	1983.5
ENSG00000107581	5499	631.0
ENSG00000245694	5499	202.5
ENSG00000148300	8999	264.0
ENSG00000186577	17999	34824.5
