ID	Length	SRX9120577
ENSG00000154548	14999	779.0
ENSG00000161057	3999	45.5
ENSG00000081307	4999	208.5
ENSG00000179698	14499	247.0
ENSG00000128602	3999	78.0
ENSG00000270020	10499	164.0
ENSG00000260953	6499	195.0
ENSG00000256433	42999	1994.0
ENSG00000141367	10499	733.5
ENSG00000230424	7499	276.0
ENSG00000157216	9999	1895.0
ENSG00000142871	3999	89.5
ENSG00000254756	7999	267.0
ENSG00000175130	46999	10807.5
ENSG00000114654	17678	374.5
ENSG00000176761	5499	140.5
ENSG00000115486	7999	6768.0
ENSG00000163870	7499	295.5
ENSG00000186432	8999	138.0
ENSG00000251414	8999	475.5
ENSG00000176845	11999	586.5
ENSG00000100479	7999	313.0
ENSG00000166405	4999	788.5
ENSG00000107954	12999	284.0
ENSG00000265306	11999	604.5
ENSG00000177370	10999	1165.5
ENSG00000131724	11499	881.0
ENSG00000168564	5499	108.0
ENSG00000267458	9999	15160.0
ENSG00000005884	5999	1025.0
ENSG00000221060	40785	3919.5
ENSG00000267030	12568	3553.5
ENSG00000100211	7999	583.5
ENSG00000183196	4499	137.0
ENSG00000167232	12499	243.0
ENSG00000112981	5499	72.5
ENSG00000159267	3999	57.5
ENSG00000204165	3999	144.5
ENSG00000114650	5999	1042.5
ENSG00000117394	9999	254.5
ENSG00000034510	4499	13896.5
ENSG00000273486	22499	504.5
ENSG00000266983	4999	100.0
ENSG00000187608	4499	274.5
ENSG00000226479	4499	334.5
ENSG00000261337	17999	325.0
ENSG00000184661	6499	354.5
ENSG00000064490	6499	266.0
ENSG00000183128	10999	166.0
ENSG00000168259	5499	7558.5
ENSG00000131652	4499	67.0
ENSG00000260796	9499	436.0
ENSG00000102805	13999	414.0
ENSG00000241634	4499	164.5
ENSG00000124688	21999	1729.0
ENSG00000183624	8999	8314.0
ENSG00000270067	29499	1032.0
ENSG00000100379	5499	114.5
ENSG00000196652	15499	2009.5
ENSG00000100568	5499	125.0
ENSG00000165527	6499	378.0
ENSG00000108468	8999	4107.0
ENSG00000158109	6499	436.5
ENSG00000182310	9499	251.5
ENSG00000054523	16691	605.5
ENSG00000228830	7999	324.0
ENSG00000136044	6999	167.0
ENSG00000250796	9499	460.0
ENSG00000135148	3999	115.5
ENSG00000130714	14499	899.5
ENSG00000267342	11499	1615.0
ENSG00000159579	5999	1294.5
ENSG00000260105	9499	605.0
ENSG00000113163	18499	1802.0
ENSG00000161011	7499	4439.5
ENSG00000088888	19999	1414.5
ENSG00000110721	6499	434.0
ENSG00000107404	10499	1341.0
ENSG00000164109	7499	144.0
ENSG00000236383	14499	2141.0
ENSG00000087086	26499	17865.0
ENSG00000267892	10999	361.0
ENSG00000053371	14499	2406.0
ENSG00000173039	3999	157.5
ENSG00000140829	4499	368.5
ENSG00000169026	6999	212.5
ENSG00000224621	5499	82.0
ENSG00000135835	3999	81.5
ENSG00000099330	19999	1293.5
ENSG00000160199	6999	125.0
ENSG00000163704	15999	1497.5
ENSG00000165516	11499	360.5
ENSG00000131153	29999	2222.5
ENSG00000228634	5999	910.5
ENSG00000164597	7999	389.0
ENSG00000105053	4499	137.0
ENSG00000185127	11999	1969.5
ENSG00000125449	14999	4997.5
ENSG00000272555	3999	65.5
ENSG00000080815	8499	145.0
ENSG00000100300	5499	4949.5
ENSG00000234409	6499	1495.5
ENSG00000177757	3999	51.5
ENSG00000243649	4499	599.5
ENSG00000169291	5499	245.5
ENSG00000177045	5999	103.0
ENSG00000168924	10999	2192.0
ENSG00000260793	3999	74.0
ENSG00000165905	5999	842.0
ENSG00000132139	3999	378.0
ENSG00000236499	27999	836.0
ENSG00000234465	11999	2286.0
ENSG00000116062	9499	246.0
ENSG00000107581	5499	156.0
ENSG00000142279	6499	83.5
ENSG00000008710	19499	1813.5
ENSG00000148300	11999	285.0
ENSG00000186577	12999	58721.5
ENSG00000170632	18499	726.0
ENSG00000105618	5999	654.5
ENSG00000006114	8999	1127.0
ENSG00000120129	4499	131.5
ENSG00000150403	5499	276.0
ENSG00000229539	25499	2012.5
ENSG00000142235	7499	2380.0
ENSG00000100147	6499	810.5
ENSG00000182319	4499	77.0
ENSG00000202343	22999	813.0
ENSG00000111639	7999	1035.5
ENSG00000196176	14499	1012.0
ENSG00000257303	5999	896.0
ENSG00000164742	6999	265.5
ENSG00000212624	4999	63.0
ENSG00000173545	9499	311.5
ENSG00000238874	8499	117.5
ENSG00000138600	5499	99.0
ENSG00000170037	4499	128.5
ENSG00000088766	26499	3178.5
