ID	Length	SRX6637058
ENSG00000221869	4499	376.0
ENSG00000133318	4499	192.0
ENSG00000269772	3999	761.0
ENSG00000256658	5999	452.0
ENSG00000223802	6999	756.0
ENSG00000169714	3999	340.0
ENSG00000112578	4999	870.0
ENSG00000230530	5499	195.0
ENSG00000152133	12499	1781.0
ENSG00000146063	8499	38046.0
ENSG00000241399	7999	988.0
ENSG00000177082	5499	262.0
ENSG00000168291	9999	288.0
ENSG00000175130	6999	836.0
ENSG00000232149	4499	55.0
ENSG00000008853	11499	1351.0
ENSG00000077616	5999	88.0
ENSG00000008838	3999	6138.0
ENSG00000115486	7499	5535.0
ENSG00000132003	9999	429.0
ENSG00000163810	6499	256.0
ENSG00000254595	6499	613.0
ENSG00000253944	4499	244.0
ENSG00000267458	5499	9830.0
ENSG00000005884	4499	360.0
ENSG00000118518	6999	706.0
ENSG00000159267	6499	327.0
ENSG00000187775	5499	145.0
ENSG00000185033	3999	1264.0
ENSG00000114650	7999	2225.0
ENSG00000259556	10499	1501.0
ENSG00000165646	5999	891.0
ENSG00000267350	3999	405.0
ENSG00000167721	4999	359.0
ENSG00000226479	3999	384.0
ENSG00000170561	3999	109.0
ENSG00000241258	6999	277.0
ENSG00000124713	6499	489.0
ENSG00000185043	7499	5694.0
ENSG00000157077	6499	296.0
ENSG00000259529	3999	157.0
ENSG00000129951	8999	5518.0
ENSG00000168259	8499	1562.0
ENSG00000228506	6499	251.0
ENSG00000136936	7499	350.0
ENSG00000139835	3999	871.0
ENSG00000214655	6999	289.0
ENSG00000175556	4999	267.0
ENSG00000040199	3999	97.0
ENSG00000162006	5999	1783.0
ENSG00000149179	7499	581.0
ENSG00000119723	3999	437.0
ENSG00000233436	11999	1059.0
ENSG00000166482	4999	305.0
ENSG00000261779	5499	866.0
ENSG00000273218	5999	64.0
ENSG00000167978	4999	500.0
ENSG00000148339	5999	267.0
ENSG00000270390	18999	916.0
ENSG00000198089	4499	540.0
ENSG00000161011	7499	257.0
ENSG00000258985	4499	82.0
ENSG00000269482	4999	141.0
ENSG00000180198	7499	184.0
ENSG00000088888	10499	1705.0
ENSG00000110721	3999	269.0
ENSG00000255857	11999	3946.0
ENSG00000089048	3999	123.0
ENSG00000252447	6499	338.0
ENSG00000100906	4499	101.0
ENSG00000203602	4999	386.0
ENSG00000226754	4499	660.0
ENSG00000053371	10999	332.0
ENSG00000126246	4499	1015.0
ENSG00000169026	5999	92.0
ENSG00000168159	4499	455.0
ENSG00000107341	4999	1045.0
ENSG00000199594	7499	161.0
ENSG00000068078	6999	962.0
ENSG00000155465	6499	2018.0
ENSG00000095383	4999	160.0
ENSG00000259661	4999	243.0
ENSG00000157500	5499	68.0
ENSG00000146904	4999	1385.0
ENSG00000138172	10499	863.0
ENSG00000204842	4999	248.0
ENSG00000162924	5499	59.0
ENSG00000165516	4999	355.0
ENSG00000131153	4499	708.0
ENSG00000234040	15999	299.0
ENSG00000178028	3999	693.0
ENSG00000204511	6499	7197.0
ENSG00000105655	4499	478.0
ENSG00000185127	4999	267.0
ENSG00000165097	3999	632.0
ENSG00000079134	6499	1493.0
ENSG00000141551	4999	1455.0
